course_id,course_name,genre,description,course_profile
1,Python for Data Science,Python Data Science,"Learn Python programming for data science, NumPy, Pandas and data analysis.","Python for Data Science Python Data Science Learn Python programming for data science, NumPy, Pandas and data analysis."
2,Python Programming Fundamentals,Python Programming,"Learn programming fundamentals using Python including variables, loops and functions.","Python Programming Fundamentals Python Programming Learn programming fundamentals using Python including variables, loops and functions."
3,Advanced Python,Python Programming Advanced,"Advanced Python programming, object oriented programming and advanced libraries.","Advanced Python Python Programming Advanced Advanced Python programming, object oriented programming and advanced libraries."
4,Machine Learning Fundamentals,Machine Learning,"Introduction to machine learning, algorithms, training and model evaluation.","Machine Learning Fundamentals Machine Learning Introduction to machine learning, algorithms, training and model evaluation."
5,Supervised Machine Learning,Machine Learning Supervised,"Supervised learning including regression, classification, decision trees and SVM.","Supervised Machine Learning Machine Learning Supervised Supervised learning including regression, classification, decision trees and SVM."
6,Unsupervised Machine Learning,Machine Learning Unsupervised,"Unsupervised learning including clustering, PCA and dimensionality reduction.","Unsupervised Machine Learning Machine Learning Unsupervised Unsupervised learning including clustering, PCA and dimensionality reduction."
7,Deep Learning with TensorFlow,Deep Learning Neural Networks,"Deep learning with TensorFlow, neural networks and image classification.","Deep Learning with TensorFlow Deep Learning Neural Networks Deep learning with TensorFlow, neural networks and image classification."
8,Neural Networks Fundamentals,Deep Learning Neural Networks,"Understand neural networks, backpropagation, activation functions and optimization.","Neural Networks Fundamentals Deep Learning Neural Networks Understand neural networks, backpropagation, activation functions and optimization."
9,Computer Vision,Computer Vision Deep Learning,"Image processing, CNNs, image classification and computer vision applications.","Computer Vision Computer Vision Deep Learning Image processing, CNNs, image classification and computer vision applications."
10,Natural Language Processing,NLP Deep Learning,"Natural language processing, text classification, embeddings and transformers.","Natural Language Processing NLP Deep Learning Natural language processing, text classification, embeddings and transformers."
11,Data Analysis with Pandas,Python Data Analysis,Data manipulation and analysis using Python Pandas and NumPy.,Data Analysis with Pandas Python Data Analysis Data manipulation and analysis using Python Pandas and NumPy.
12,Data Visualization with Python,Python Data Visualization,"Create data visualizations using Matplotlib, Seaborn and Python.","Data Visualization with Python Python Data Visualization Create data visualizations using Matplotlib, Seaborn and Python."
13,SQL for Beginners,SQL Database,"Learn SQL queries, joins, filtering, aggregation and relational databases.","SQL for Beginners SQL Database Learn SQL queries, joins, filtering, aggregation and relational databases."
14,Advanced SQL,SQL Database Advanced,"Advanced SQL queries, window functions, optimization and complex joins.","Advanced SQL SQL Database Advanced Advanced SQL queries, window functions, optimization and complex joins."
15,Database Management Systems,Database SQL,"Database systems, relational databases, normalization and SQL.","Database Management Systems Database SQL Database systems, relational databases, normalization and SQL."
16,R Programming Fundamentals,R Programming Statistics,"Learn R programming, statistics and data analysis.","R Programming Fundamentals R Programming Statistics Learn R programming, statistics and data analysis."
17,Statistics for Data Science,Statistics Data Science,Statistics concepts required for data science and machine learning.,Statistics for Data Science Statistics Data Science Statistics concepts required for data science and machine learning.
18,Probability for Machine Learning,Statistics Machine Learning,"Probability distributions, Bayesian concepts and probability for ML.","Probability for Machine Learning Statistics Machine Learning Probability distributions, Bayesian concepts and probability for ML."
19,Feature Engineering,Machine Learning Data Science,"Feature selection, feature transformation and preprocessing for ML.","Feature Engineering Machine Learning Data Science Feature selection, feature transformation and preprocessing for ML."
20,MLOps Fundamentals,Machine Learning Deployment,"Deploy machine learning models, pipelines, monitoring and production systems.","MLOps Fundamentals Machine Learning Deployment Deploy machine learning models, pipelines, monitoring and production systems."
21,AWS Cloud Fundamentals,Cloud AWS,"Amazon AWS cloud computing, storage, compute and cloud services.","AWS Cloud Fundamentals Cloud AWS Amazon AWS cloud computing, storage, compute and cloud services."
22,Google Cloud Fundamentals,Cloud Google,"Google Cloud Platform fundamentals, compute, storage and data services.","Google Cloud Fundamentals Cloud Google Google Cloud Platform fundamentals, compute, storage and data services."
23,Azure Cloud Fundamentals,Cloud Azure,Microsoft Azure cloud computing and cloud infrastructure.,Azure Cloud Fundamentals Cloud Azure Microsoft Azure cloud computing and cloud infrastructure.
24,Big Data Analytics,Big Data Analytics,"Big data processing, distributed systems and large-scale analytics.","Big Data Analytics Big Data Analytics Big data processing, distributed systems and large-scale analytics."
25,Apache Spark,Big Data Spark,"Apache Spark, distributed computing and big data processing.","Apache Spark Big Data Spark Apache Spark, distributed computing and big data processing."
26,Data Mining,Data Mining Machine Learning,"Data mining techniques, pattern discovery and machine learning.","Data Mining Data Mining Machine Learning Data mining techniques, pattern discovery and machine learning."
27,Artificial Intelligence Fundamentals,Artificial Intelligence Machine Learning,"Artificial intelligence concepts, intelligent systems and machine learning.","Artificial Intelligence Fundamentals Artificial Intelligence Machine Learning Artificial intelligence concepts, intelligent systems and machine learning."
28,Reinforcement Learning,Artificial Intelligence Reinforcement Learning,"Reinforcement learning, agents, rewards and sequential decision making.","Reinforcement Learning Artificial Intelligence Reinforcement Learning Reinforcement learning, agents, rewards and sequential decision making."
29,Generative AI Fundamentals,Artificial Intelligence Generative AI,"Generative AI, large language models, prompting and AI applications.","Generative AI Fundamentals Artificial Intelligence Generative AI Generative AI, large language models, prompting and AI applications."
30,Computer Science Algorithms,Computer Science Algorithms,"Algorithms, data structures, complexity analysis and problem solving.","Computer Science Algorithms Computer Science Algorithms Algorithms, data structures, complexity analysis and problem solving."
